id,nome científico,family,fbLink,category,criteria,assessmentYear,reassessment
280,Andreadoxa flava Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB280,CR,"B1ab(iii,v)+2ab(iii,v);D",2012,false
315,Angostura quinquefolia Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB315,VU,D2,2019,false
440,Conchocarpus adenantherus (Rizzini) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB440,EN,"B2ab(ii,iii)",2019,false
441,Conchocarpus bellus Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB441,CR,B2ab(iii),2012,false
442,Conchocarpus cauliflorus Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB442,CR,"B2ab(ii,iii)",2012,false
454,Conchocarpus furcatus Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB454,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2019,false
458,Conchocarpus grandiflorus (Engl.) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB458,EN,"B1ab(i,iii)",2017,false
459,Conchocarpus grandis Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB459,VU,"B2ab(ii,iii)",2023,false
468,Conchocarpus macrocarpus (Engl.) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB468,EN,"B2ab(ii,iii)",2019,false
470,Conchocarpus marginatus (Rizzini) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB470,CR,"B1ab(ii,iii)",2012,false
477,Conchocarpus ovatus (A.St.-Hil. & Tul.) Kallunki & Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB477,VU,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2017,false
482,Conchocarpus santosii Pirani & Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB482,CR,B1ab(iii)+2ab(iii),2019,false
484,Conchocarpus sordidus Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB484,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2022,true
598,Esenbeckia irwiniana Kaastra,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB598,EN,"B2ab(ii,iii)",2012,false
606,Esenbeckia oligantha Kaastra,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB606,EN,B2ab(iii),2019,false
621,Euxylophora paraensis Huber,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB621,CR,A2bcd,2012,false
732,Galipea carinata Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB732,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2019,true
765,Galipea revoluta Pirani,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB765,EN,B2ab(iii),2019,false
797,Hortia superba Ducke,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB797,VU,B1ab(iii),2019,false
816,Metrodorea maracasana Kaastra,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB816,VU,B2ab(iii),2019,true
867,Pilocarpus alatus C.J.Joseph ex Skorupa,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB867,EN,B2ab(iii),2020,true
869,Pilocarpus carajaensis Skorupa,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB869,EN,"B2ab(ii,iii,iv,v)",2020,false
874,Pilocarpus grandiflorus Engl.,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB874,VU,"B2ab(ii,iii)",2020,false
876,Pilocarpus jaborandi Holmes,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB876,VU,B2ab(iii),2021,true
882,Pilocarpus microphyllus Stapf ex Wardlew.,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB882,EN,A2bcd,2012,false
907,Pilocarpus sulcatus Skorupa,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB907,EN,"B2ab(i,ii,iii)",2020,false
908,Pilocarpus trachylophus Holmes,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB908,EN,"A2c;B2ab(iii,v)",2019,true
958,Raulinoa echinata R.S.Cowan,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB958,VU,D2,2012,false
1036,Ticorea froesii Kallunki,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1036,VU,D2,2019,false
1161,Zanthoxylum retusum (Albuq.) P.G.Waterman,Rutaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1161,EN,B2ab(iii),2019,false
1411,Arrojadoa bahiensis (P.J.Braun & Esteves) N.P.Taylor & Eggli,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1411,EN,B1ab(iii)+2ab(iii),2012,false
1418,Arthrocereus glaziovii (K.Schum.) N.P.Taylor & Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1418,EN,"B1ab(ii,iii)",2012,false
1421,Arthrocereus melanurus (K.Schum.) Diers et al. subsp. melanurus,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1421,EN,B2ab(iii),2012,false
1423,Arthrocereus rondonianus Backeb. & Voll,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1423,EN,B1ab(iii)+2ab(iii),2012,false
1455,Cereus mirabella N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1455,VU,"B2ab(ii,iii)",2012,false
1463,Cipocereus bradei (Backeb. & Voll) Zappi & N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1463,VU,B1ab(iii)+2ab(iii),2012,false
1464,Cipocereus crassisepalus (Buining & Brederoo) Zappi & N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1464,EN,"B1ab(i,iii,iv)",2012,false
1465,Cipocereus laniflorus N.P.Taylor & Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1465,EN,D,2012,false
1466,Cipocereus minensis (Werderm.) Ritter,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1466,VU,"B2ab(i,ii,iii,iv)",2022,true
1474,Coleocephalocereus buxbaumianus subsp. flavisetus (Ritter) N.P.Taylor & Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1474,VU,"B2ab(ii,iii)",2012,false
1481,Coleocephalocereus purpureus (Buining & Brederoo) Ritter,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1481,EN,B1ab(iii)+2ab(iii),2012,false
1483,Discocactus bahiensis Britton & Rose,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1483,VU,"B2ab(ii,iii,iv)",2012,false
1488,Discocactus horstii Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1488,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);C2a(i)",2022,true
1493,Discocactus pseudoinsignis N.P.Taylor & Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1493,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2022,true
1496,Discocactus zehntneri Britton & Rose,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1496,VU,"B1ab(i,iii,iv)",2012,false
1515,Espostoopsis dybowskii (Rol.-Goss.) Buxb.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1515,EN,B2ab(iii),2012,false
1517,Facheiroa cephaliomelana Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1517,EN,B2ab(iii),2012,false
1521,Facheiroa ulei (Gürke) Werderm.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1521,EN,B1ab(iii)+2ab(iii),2012,false
1523,Frailea castanea Backeb.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1523,EN,B1ab(iii)+2ab(iii),2012,false
1527,Frailea mammifera Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1527,CR,B2ab(iii),2012,false
1529,Frailea phaeodisca (Speg.) Speg.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1529,EN,"B1ab(iii,iv,v)+2ab(iii,iv,v)",2012,false
1530,Frailea pumila (Lem.) Britton & Rose,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1530,VU,B1ab(iii),2012,false
1531,Frailea pygmaea (Speg.) Britton & Rose,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1531,VU,"B1ab(iii,iv,v)",2012,false
1533,Gymnocalycium denudatum (Link & Otto) Pfeiff. ex Mittler,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1533,EN,"B1ab(iii,iv,v)",2012,false
1545,Hatiora herminiae (Porto & Castell.) Backeb. ex Barthlott,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1545,VU,"B1ab(iii,iv,v)",2012,false
1559,Melocactus azureus Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1559,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",2012,false
1566,Melocactus conoideus Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1566,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2012,false
1567,Melocactus deinacanthus Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1567,CR,"A3c;B2ab(i,iii)",2012,false
1573,Melocactus glaucescens Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1573,EN,A3ce;B1ab(iii);C2a(i),2012,false
1575,Melocactus lanssensianus P.J.Braun,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1575,EN,"B1b(i,iii)",2012,false
1582,Melocactus pachyacanthus Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1582,EN,"B1ab(i,iii,v)",2012,false
1585,Melocactus paucispinus Heimen & R.J.Paul,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1585,VU,"B1ab(iii,v);C2a(i)",2012,false
1591,Melocactus violaceus Pfeiff.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1591,VU,A2c,2012,false
1597,Micranthocereus albicephalus (Buining & Brederoo) F.Ritter,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1597,EN,B1ab(iii),2012,false
1598,Micranthocereus auriazureus Buining & Brederoo,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1598,EN,B1ab(iii)+2ab(iii),2022,true
1602,Micranthocereus polyanthus (Werderm.) Backeb.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1602,EN,"B1b(iii,v)+2b(iii,v)",2012,false
1606,Micranthocereus streckeri Van Heek & Van Criek.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1606,CR,"B2ab(i,ii,iii,v);C2a(ii)",2012,false
1624,Parodia mammulosa (Lem.) N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1624,EN,"B1ab(i,ii,iii,iv,v)",2012,false
1646,Pilosocereus aurisetus subsp. aurilanatus (Ritter) Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1646,EN,B1ab(iii),2012,false
1648,Pilosocereus azulensis N.P.Taylor & Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1648,CR,"A2cd;B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);C2a(i);D",2020,true
1659,Pilosocereus fulvilanatus (Buining & Brederoo) Ritter,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1659,VU,"B1b(i,iii,iv,v)+2ab(iii,iv,v)",2022,true
1662,Pilosocereus glaucochrous (Werderm.) Byles & G.D.Rowley,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1662,VU,"B1b(i,iii)",2012,false
1667,Pilosocereus magnificus (Buining & Brederoo) Ritter,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1667,EN,"B1ab(i,iii)",2012,false
1682,Rhipsalis agudoensis N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1682,EN,"B2ab(ii,iii,iv,v)",2017,true
1690,Rhipsalis cereoides (Backeb. & Voll) Backeb.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1690,CR,"B1ab(iii,iv)",2012,false
1705,Rhipsalis hoelleri Barthlott & N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1705,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv);D",2017,true
1711,Rhipsalis mesembryanthemoides Haw.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1711,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2017,false
1715,Rhipsalis pacheco-leonis Loefgr.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1715,EN,B1ab(iii),2012,false
1723,Rhipsalis pentaptera A.Dietr.,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1723,CR,"B1ab(i,ii,iii)",2017,false
1738,Schlumbergera kautskyi (Horobin & McMillan) N.P.Taylor,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1738,EN,B1ab(v),2012,false
1739,Schlumbergera microsphaerica (K.Schum.) Hoevel,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1739,VU,"B1a+2ac(iii,iv)",2012,false
1740,Schlumbergera opuntioides (Loefgr. & Dusén) D.R.Hunt,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1740,VU,B1ab(iii),2012,false
1742,Schlumbergera russelliana (Hook.) Britton & Rose,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1742,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",2017,false
1751,Tacinga braunii Esteves,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1751,VU,D2,2012,false
1760,Uebelmannia buiningii Donald,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1760,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);C2a(i)",2022,true
1762,Uebelmannia gummifera (Backeb. & Voll) Buining,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1762,VU,B1ab(iii),2012,false
1766,Uebelmannia pectinifera Buining,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1766,EN,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",2022,true
3940,Fuchsia alpestris Gardner,Onagraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB3940,VU,D2,2017,false
3946,Fuchsia glazioviana Taub.,Onagraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB3946,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",2017,false
4038,Ludwigia anastomosans (DC.) H.Hara,Onagraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4038,VU,"B2ab(ii,iii)",2021,true
4089,Aphelandra espirito-santensis Profice & Wassh.,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4089,EN,B1ab(iii),2012,false
4099,Aphelandra maximiliana (Nees) Benth.,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4099,EN,B1ab(iii),2012,false
4109,Aphelandra rigida Glaz. ex Mildbr.,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4109,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2017,false
4112,Aphelandra stephanophysa Nees,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4112,VU,D2,2017,false
4125,Dyschoriste lavandulacea (Nees) Kuntze,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4125,EN,B1ab(iii),2012,false
4151,Justicia genuflexa Nees & Mart.,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4151,VU,D2,2012,false
4159,Justicia meyeniana (Nees) Lindau,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4159,EN,"B2ab(i,ii,iii,iv)",2017,false
4160,Justicia nervata (Lindau) Profice,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4160,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2017,false
4163,Justicia polita (Nees) Profice,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4163,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2017,true
4169,Justicia tijucensis V.A.W.Graham,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4169,VU,B1ab(iii),2012,false
4225,Staurogyne brachiata (Hiern) Leonard,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4225,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2017,true
4226,Staurogyne elegans (Nees) Kuntze,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4226,VU,D2,2012,false
4228,Staurogyne euryphylla E.Hossain,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4228,EN,"B2ab(ii,iii,iv)",2017,false
4232,Staurogyne itatiaiae (Wawra) Leonard,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4232,EN,B1ab(iii),2012,false
4234,Staurogyne minarum (Nees) Kuntze,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4234,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2014,false
4239,Staurogyne vauthieriana (Nees) Kuntze,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4239,EN,B1ab(iii),2012,false
4240,Staurogyne veronicifolia (Nees) Kuntze,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4240,EN,B1ab(iii),2012,false
4241,Staurogyne warmingiana (Hiern) Leonard,Acanthaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4241,EN,B1ab(iii),2012,false
4274,Sagittaria lancifolia L.,Alismataceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4274,VU,A2c,2012,false
4278,Alstroemeria amabilis M.C.Assis,Alstroemeriaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4278,EN,B1ab(iii)+2ab(iii),2012,false
4280,Alstroemeria capixaba M.C.Assis,Alstroemeriaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4280,CR,B2ab(iii),2012,false
4281,Alstroemeria caryophyllaea Jacq.,Alstroemeriaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4281,EN,"B2ab(ii,iii,iv)",2012,false
4289,Alstroemeria malmeana Kraenzl.,Alstroemeriaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4289,CR,"B2ab(ii,iii,iv)",2012,false
4340,Griffinia colatinensis Ravenna,Amaryllidaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4340,CR,"B2ab(iii,v);C2a(i)",2019,true
4342,Griffinia espiritensis Ravenna,Amaryllidaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4342,EN,"B2ab(ii,iii)",2012,true
4343,Griffinia hyacinthina (Ker Gawl.) Ker Gawl.,Amaryllidaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB4343,EN,"A4c;B1ab(iii,iv)+2ab(iii,iv);C2a(i)",2012,true
