id,nome científico,family,fbLink,category,criteria,assessmentYear,reassessment
132619,Martianthus sancti-gabrielii (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132619,EN,B1ab(iii),2012,false
132622,Medusantha carvalhoi (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132622,VU,B1ab(iii),2012,false
132633,Oocephalus argyrophyllus (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132633,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2014,false
132636,Oocephalus hagei (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132636,VU,"B1ab(i,ii,iii)",2014,false
132637,Oocephalus halimifolius (Mart. ex Benth.) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132637,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2014,false
132640,Oocephalus niveus (Epling) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132640,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",2014,false
132641,Oocephalus nubicola (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132641,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2014,false
132645,Oocephalus piranii (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132645,EN,B1ab(iii)+2ab(iii),2019,false
132646,Oocephalus silvinae (Harley) Harley & J.F.B.Pastore,Lamiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132646,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2014,false
132650,Bipinnula penicillata (Rchb.f.) Cisternas & Salazar,Orchidaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132650,EN,"B1ab(ii,iii,iv,v)",2012,false
132718,Senecio arctiifolius Baker,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132718,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2017,false
132894,Mikania pteropoda DC.,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132894,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2017,false
132945,"Allophylus exappendiculatus Somner, Frazão & Ferrucci",Sapindaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB132945,EN,"B1ab(ii,iii)+2ab(ii,iii)",2023,true
133359,"Luetzelburgia guianensis D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133359,EN,"B2ab(ii,iii)",2023,false
133779,Paepalanthus flexuosus Trovó,Eriocaulaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133779,CR,"A4bc;B2ab(ii,iii,iv);E",2016,false
133780,Paepalanthus longiciliatus Trovó,Eriocaulaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133780,CR,"A2bc;B2ab(ii,iii,iv)",2016,false
